B0: ,R40
B1: ,R38
B2: ,R96
B3: ,R33
B4: ,R98
B5: ,R12
B6: ,R62
B7: ,R59
B8: ,R51
B9: ,R91
B10: ,R61
B11: ,R54
B12: ,R74
B13: ,R56
B14: ,R3
B15: ,R64
B16: ,R8
B17: ,R41
B18: ,R32
B19: ,R66
B20: ,R31
B21: ,R37
B22: ,R43
B23: ,R13
B24: ,R99
B25: ,R90
B26: ,R19
B27: ,R25
B28: ,R11
B29: ,R20
B30: ,R57
B31: ,R23
B32: ,R35
B33: ,R71
B34: ,R17
B35: ,R72
B36: ,R69
B37: ,R68
B38: ,R0
B39: ,R85
B40: ,R7
B41: ,R94
B42: ,R79
B43: ,R42
B44: ,R65
B45: ,R81
B46: ,R4
B47: ,R46
B48: ,R14
B49: ,R84
B50: ,R9
B51: ,R92
B52: ,R24
B53: ,R10
B54: ,R18
B55: ,R22
B56: ,R83
B57: ,R16
B58: ,R73
B59: ,R30
B60: ,R78
B61: ,R75
B62: ,R89
B63: ,R53
B64: ,R49
B65: ,R36
B66: ,R80
B67: ,R70
B68: ,R87
B69: ,R52
B70: ,R5
B71: ,R67
B72: ,R15
B73: ,R77
B74: ,R55
B75: ,R63
B76: ,R88
B77: ,R82
B78: ,R97
B79: ,R27
B80: ,R60
B81: ,R29
B82: ,R48
B83: ,R21
B84: ,R2
B85: ,R93
B86: ,R39
B87: ,R50
B88: ,R95
B89: ,R1
B90: ,R28
B91: ,R26
B92: ,R44
B93: ,R6
B94: ,R34
B95: ,R47
B96: ,R76
B97: ,R86
B98: ,R58
B99: ,R45
