B0:, R18, R87, R81, R2, R98, R23, R99, R13, R61, R17, R41, R64, R51, R3, R79, R47, R95, R6, R83, R88, R46, R82, R20, R19, R11, R89, R80, R77, R28, R84, R96, R93, R78, R76, R48, R24, R12, R65, R40, R27, R52, R42, R43, R4, R60, R38, R94, R68, R35, R85, R15, R7, R74, R67, R1, R86, R66, R14, R25, R33, R73, R92, R49, R56, R44, R0, R31, R90, R57, R36, R75, R45, R54, R70, R26, R10, R91, R30, R97, R32, R9, R39, R71, R50, R21, R63, R69, R55, R72, R8, R59, R62, R37, R34, R58, R5, R16, R29, R22, R53, 
B1:, R78, R99, R46, R34, R16, R44, R89, R2, R5, R22, R33, R12, R85, R67, R80, R13, R7, R77, R25, R11, R30, R50, R35, R72, R32, R20, R40, R10, R59, R31, R71, R95, R45, R93, R75, R51, R86, R24, R19, R43, R58, R69, R37, R9, R98, R28, R70, R65, R52, R21, R4, R66, R62, R49, R83, R97, R47, R76, R27, R41, R36, R79, R61, R0, R38, R14, R54, R84, R96, R48, R3, R94, R1, R18, R87, R63, R29, R8, R55, R91, R82, R23, R53, R42, R92, R90, R88, R26, R6, R81, R73, R60, R56, R64, R57, R15, R74, R68, R17, R39, 
B2:, R55, R40, R96, R72, R52, R79, R39, R74, R98, R41, R22, R26, R16, R62, R83, R27, R6, R64, R94, R7, R5, R21, R0, R65, R85, R28, R38, R43, R86, R70, R18, R73, R13, R49, R99, R80, R60, R35, R67, R44, R57, R71, R17, R9, R69, R87, R50, R88, R89, R1, R82, R23, R25, R95, R58, R37, R4, R46, R34, R32, R92, R59, R78, R29, R47, R66, R19, R45, R14, R33, R20, R24, R31, R30, R91, R54, R77, R12, R97, R8, R51, R53, R2, R56, R63, R81, R75, R76, R42, R93, R84, R3, R61, R15, R11, R36, R10, R90, R68, R48, 
B3:, R50, R25, R86, R64, R22, R47, R34, R81, R97, R99, R18, R15, R89, R63, R33, R87, R31, R72, R70, R45, R28, R7, R6, R51, R54, R10, R96, R26, R20, R39, R59, R27, R48, R49, R68, R4, R2, R37, R46, R58, R78, R66, R80, R43, R5, R73, R92, R44, R1, R79, R35, R14, R42, R60, R29, R36, R61, R24, R55, R12, R88, R23, R13, R38, R65, R41, R82, R62, R3, R93, R19, R40, R90, R75, R9, R17, R98, R56, R53, R11, R76, R84, R16, R52, R32, R8, R30, R71, R57, R83, R85, R67, R74, R91, R95, R77, R21, R69, R94, R0, 
B4:, R81, R82, R0, R37, R87, R6, R78, R1, R35, R79, R10, R89, R17, R95, R9, R33, R20, R60, R96, R39, R15, R22, R48, R52, R61, R73, R30, R47, R57, R11, R34, R91, R75, R26, R65, R49, R99, R83, R2, R43, R4, R23, R66, R88, R74, R92, R44, R63, R46, R12, R3, R90, R84, R71, R97, R13, R68, R7, R98, R50, R28, R32, R29, R31, R19, R16, R62, R54, R76, R51, R69, R27, R58, R85, R45, R67, R53, R38, R72, R14, R80, R21, R40, R41, R86, R36, R55, R94, R5, R59, R56, R18, R93, R24, R77, R8, R64, R25, R70, R42, 
B5:, R40, R73, R67, R89, R75, R74, R98, R97, R20, R48, R11, R63, R27, R57, R61, R47, R53, R13, R92, R96, R85, R32, R30, R18, R68, R69, R25, R8, R59, R60, R62, R17, R23, R50, R52, R2, R39, R24, R41, R70, R80, R72, R26, R56, R37, R22, R19, R42, R38, R66, R99, R64, R71, R1, R65, R82, R94, R14, R79, R9, R76, R83, R90, R3, R0, R78, R49, R5, R16, R95, R46, R21, R6, R34, R35, R36, R10, R29, R91, R86, R4, R54, R12, R77, R87, R84, R88, R81, R51, R7, R55, R58, R45, R15, R44, R93, R28, R33, R43, R31, 
B6:, R96, R66, R60, R71, R6, R14, R44, R50, R76, R5, R1, R88, R28, R21, R38, R83, R94, R2, R86, R22, R49, R53, R20, R75, R40, R12, R67, R80, R56, R77, R23, R54, R84, R97, R82, R25, R32, R78, R52, R65, R36, R85, R26, R39, R68, R31, R4, R29, R19, R3, R92, R34, R13, R64, R69, R89, R16, R79, R42, R81, R57, R46, R10, R73, R37, R55, R30, R63, R33, R58, R17, R11, R62, R98, R61, R45, R59, R48, R18, R93, R70, R95, R8, R47, R90, R41, R91, R0, R72, R9, R74, R43, R27, R35, R15, R87, R7, R51, R99, R24, 
B7:, R63, R99, R19, R98, R16, R95, R51, R48, R89, R8, R6, R11, R53, R69, R79, R34, R73, R17, R35, R70, R47, R18, R10, R93, R20, R12, R96, R83, R23, R42, R62, R37, R9, R24, R84, R2, R28, R94, R7, R65, R72, R67, R0, R50, R54, R46, R13, R45, R36, R31, R15, R60, R76, R61, R3, R41, R97, R86, R21, R25, R55, R30, R87, R75, R57, R80, R40, R39, R5, R32, R64, R82, R71, R49, R58, R77, R88, R44, R68, R27, R26, R52, R56, R66, R33, R59, R78, R14, R85, R91, R92, R38, R90, R1, R43, R74, R22, R29, R4, R81, 
B8:, R71, R94, R83, R2, R98, R85, R28, R11, R58, R92, R24, R56, R23, R80, R67, R62, R72, R8, R18, R93, R82, R36, R33, R90, R86, R89, R22, R31, R53, R35, R66, R4, R42, R1, R87, R13, R59, R14, R54, R34, R39, R9, R5, R43, R19, R69, R55, R52, R73, R88, R84, R47, R10, R27, R63, R68, R79, R61, R74, R70, R96, R37, R29, R99, R3, R50, R20, R49, R64, R57, R15, R26, R44, R76, R40, R91, R30, R41, R78, R21, R17, R46, R75, R65, R97, R60, R45, R32, R77, R48, R12, R81, R6, R95, R51, R38, R0, R7, R25, R16, 
B9:, R89, R53, R40, R0, R86, R25, R77, R5, R94, R23, R71, R20, R13, R79, R30, R29, R73, R35, R54, R39, R92, R76, R67, R62, R84, R65, R85, R51, R31, R91, R59, R48, R99, R22, R42, R19, R63, R17, R68, R44, R12, R97, R49, R95, R55, R46, R24, R70, R8, R10, R50, R9, R6, R18, R37, R75, R3, R33, R47, R96, R72, R60, R74, R14, R88, R66, R56, R52, R28, R4, R27, R45, R7, R98, R2, R32, R41, R16, R15, R34, R1, R93, R11, R64, R43, R69, R83, R26, R78, R21, R61, R82, R90, R57, R80, R87, R36, R38, R81, R58, 
B10:, R92, R55, R34, R69, R83, R47, R23, R63, R26, R70, R42, R72, R48, R51, R41, R37, R0, R76, R2, R67, R65, R95, R77, R91, R56, R84, R11, R9, R73, R78, R15, R36, R17, R85, R52, R25, R46, R57, R75, R68, R87, R29, R7, R4, R33, R97, R82, R27, R89, R16, R21, R8, R20, R88, R28, R99, R44, R24, R5, R35, R59, R6, R81, R86, R66, R53, R19, R43, R40, R32, R14, R94, R74, R96, R18, R50, R54, R61, R58, R39, R22, R45, R38, R13, R90, R49, R12, R30, R79, R62, R1, R3, R60, R10, R31, R71, R64, R93, R98, R80, 
