B0:, R12, R2, R18, R20, R23, R6, R24, R8, R14, R7, R0, R15, R3, R13, R9, R16, R21, R4, R22, R19, R10, R17, R11, R5, R1, 
B1:, R19, R15, R20, R5, R14, R9, R2, R18, R0, R12, R23, R11, R17, R10, R6, R24, R16, R13, R1, R7, R22, R8, R21, R3, R4, 
B2:, R17, R18, R12, R14, R5, R15, R21, R7, R10, R3, R13, R16, R20, R2, R1, R19, R22, R24, R8, R23, R11, R6, R0, R4, R9, 
B3:, R8, R0, R13, R18, R1, R15, R12, R14, R19, R20, R7, R22, R16, R9, R5, R23, R11, R24, R10, R2, R3, R4, R17, R21, R6, 
B4:, R24, R17, R22, R6, R7, R12, R8, R4, R15, R0, R3, R19, R16, R2, R23, R21, R1, R13, R11, R14, R18, R5, R20, R10, R9, 
B5:, R16, R7, R6, R18, R8, R0, R17, R13, R5, R9, R15, R23, R1, R22, R2, R11, R21, R4, R24, R10, R12, R3, R20, R19, R14, 
B6:, R1, R12, R20, R19, R8, R6, R7, R17, R15, R5, R18, R13, R3, R22, R11, R2, R16, R14, R0, R4, R10, R9, R24, R23, R21, 
B7:, R7, R15, R12, R19, R10, R0, R13, R17, R23, R6, R8, R2, R21, R20, R11, R4, R24, R9, R16, R1, R18, R5, R22, R14, R3, 
B8:, R0, R16, R15, R14, R5, R8, R10, R2, R11, R22, R17, R7, R12, R6, R19, R3, R24, R9, R4, R21, R13, R1, R23, R20, R18, 
B9:, R12, R13, R0, R17, R6, R24, R5, R20, R15, R22, R3, R10, R8, R4, R23, R14, R7, R9, R11, R2, R18, R16, R19, R21, R1, 
B10:, R0, R2, R12, R24, R15, R16, R21, R17, R7, R11, R5, R10, R14, R19, R18, R3, R22, R23, R4, R13, R9, R6, R20, R1, R8, 
B11:, R11, R1, R6, R14, R22, R0, R15, R20, R17, R7, R12, R23, R5, R19, R8, R21, R9, R3, R18, R16, R10, R24, R4, R2, R13, 
B12:, R22, R2, R5, R6, R9, R19, R7, R11, R24, R23, R17, R0, R3, R8, R16, R15, R14, R13, R20, R10, R12, R1, R21, R4, R18, 
B13:, R22, R12, R5, R18, R21, R9, R0, R7, R23, R13, R19, R16, R24, R3, R6, R4, R14, R11, R1, R20, R15, R10, R8, R17, R2, 
B14:, R2, R11, R4, R24, R9, R1, R5, R22, R0, R15, R10, R19, R14, R3, R6, R23, R12, R20, R21, R17, R7, R16, R18, R8, R13, 
B15:, R19, R14, R22, R7, R6, R12, R24, R11, R15, R18, R8, R4, R9, R2, R23, R16, R10, R21, R3, R20, R17, R1, R5, R0, R13, 
